x,y,z,radius
10,0,0,2
9.99822,0.0309581,0.0164298,2
9.99288,0.118378,0.0628494,2
9.98399,0.254079,0.134954,2
9.97156,0.42988,0.228438,2
9.95559,0.637599,0.338997,2
9.93608,0.869055,0.462327,2
9.91305,1.11607,0.594121,2
9.8865,1.37045,0.730076,2
9.85644,1.62403,0.865886,2
9.82287,1.86862,0.997247,2
9.78581,2.09729,1.12051,2
9.74526,2.30986,1.23563,2
9.70124,2.50845,1.34375,2
9.65379,2.69515,1.44602,2
9.6029,2.87209,1.5436,2
9.54861,3.04136,1.63764,2
9.49094,3.20509,1.7293,2
9.42989,3.36538,1.81973,2
9.36549,3.52433,1.91007,2
9.29776,3.68407,2.0015,2
9.22672,3.84647,2.09503,2
9.1524,4.01166,2.19077,2
9.07482,4.17902,2.28842,2
8.99403,4.3479,2.38767,2
8.91004,4.51765,2.4882,2
8.82288,4.68764,2.58972,2
8.7326,4.85723,2.6919,2
8.63922,5.02576,2.79445,2
8.54277,5.19261,2.89705,2
8.44328,5.35711,2.99939,2
8.34078,5.51869,3.10119,2
8.23532,5.67717,3.20238,2
8.12693,5.83266,3.30306,2
8.01565,5.98525,3.4033,2
7.90152,6.13506,3.50319,2
7.7846,6.28218,3.60281,2
7.66491,6.42672,3.70223,2
7.5425,6.56878,3.80156,2
7.41741,6.70847,3.90086,2
7.28969,6.84589,4.00022,2
7.15936,6.98113,4.09972,2
7.02649,7.11419,4.19939,2
6.89113,7.24499,4.29919,2
6.75331,7.37345,4.39912,2
6.6131,7.49946,4.49914,2
6.47054,7.62296,4.59924,2
6.32568,7.74385,4.69938,2
6.17858,7.86205,4.79956,2
6.02929,7.97747,4.89975,2
5.87785,8.09003,4.99992,2
5.72432,8.19964,5.10006,2
5.56875,8.30625,5.20016,2
5.4112,8.40983,5.30021,2
5.25173,8.51036,5.40024,2
5.0904,8.60783,5.50023,2
4.92726,8.7022,5.60021,2
4.76237,8.79346,5.70017,2
4.59579,8.88158,5.80012,2
4.42758,8.96654,5.90007,2
4.25779,9.04832,6.00002,2
4.08649,9.12689,6.09999,2
3.91374,9.20224,6.19996,2
3.73959,9.27433,6.29994,2
3.56411,9.34314,6.39994,2
3.38737,9.40866,6.49994,2
3.20942,9.47084,6.59994,2
3.03034,9.52968,6.69995,2
2.85018,9.58513,6.79997,2
2.66902,9.63719,6.89998,2
2.4869,9.68581,6.99999,2
2.30389,9.73099,7.1,2
2.12007,9.77269,7.20001,2
1.93549,9.81092,7.30001,2
1.75023,9.84565,7.40002,2
1.56434,9.87688,7.50002,2
1.3779,9.90461,7.60002,2
1.19097,9.92882,7.70001,2
1.00361,9.94951,7.80001,2
0.815903,9.96666,7.90001,2
0.627904,9.98027,8,2
0.439681,9.99033,8.1,2
0.251302,9.99683,8.2,2
0.0628332,9.99978,8.3,2
-0.125658,9.99918,8.39999,2
-0.314106,9.99502,8.5,2
-0.502442,9.98733,8.6,2
-0.6906,9.97609,8.7,2
-0.878512,9.96131,8.8,2
-1.06611,9.94299,8.9,2
-1.25333,9.92114,9,2
-1.44011,9.89576,9.1,2
-1.62637,9.86686,9.2,2
-1.81205,9.83444,9.3,2
-1.99709,9.79853,9.4,2
-2.18142,9.75914,9.5,2
-2.36498,9.71629,9.6,2
-2.5477,9.66999,9.7,2
-2.72951,9.62025,9.8,2
-2.91036,9.56711,9.9,2
-3.09017,9.51056,10,2
-3.26888,9.45063,10.1,2
-3.44643,9.38733,10.2,2
-3.62275,9.3207,10.3,2
-3.79778,9.25075,10.4,2
-3.97147,9.17752,10.5,2
-4.14374,9.10103,10.6,2
-4.31455,9.02131,10.7,2
-4.48382,8.93839,10.8,2
-4.65151,8.8523,10.9,2
-4.81754,8.76306,11,2
-4.98185,8.67071,11.1,2
-5.14439,8.57526,11.2,2
-5.3051,8.47677,11.3,2
-5.46393,8.37526,11.4,2
-5.62082,8.27078,11.5,2
-5.77571,8.16336,11.6,2
-5.92855,8.05305,11.7,2
-6.07929,7.93988,11.8,2
-6.22787,7.82389,11.9,2
-6.37424,7.70513,12,2
-6.51834,7.58362,12.1,2
-6.66012,7.45941,12.2,2
-6.79952,7.33255,12.3,2
-6.93652,7.20308,12.4,2
-7.07105,7.07105,12.5,2
-7.20307,6.93651,12.6,2
-7.33253,6.79951,12.7,2
-7.45939,6.6601,12.8,2
-7.58361,6.51832,12.9,2
-7.70513,6.37423,13,2
-7.82391,6.22788,13.1,2
-7.9399,6.0793,13.2,2
-8.05307,5.92856,13.3,2
-8.16337,5.77572,13.4,2
-8.27078,5.62082,13.5,2
-8.37525,5.46393,13.6,2
-8.47675,5.30509,13.7,2
-8.57524,5.14438,13.8,2
-8.67069,4.98184,13.9,2
-8.76306,4.81753,14,2
-8.85231,4.65151,14.1,2
-8.93841,4.48383,14.2,2
-9.02133,4.31456,14.3,2
-9.10104,4.14375,14.4,2
-9.17752,3.97147,14.5,2
-9.25074,3.79778,14.6,2
-9.32068,3.62274,14.7,2
-9.38731,3.44642,14.8,2
-9.45061,3.26887,14.9,2
-9.51056,3.09017,15,2
-9.56712,2.91036,15.1,2
-9.62028,2.72952,15.2,2
-9.67001,2.54771,15.3,2
-9.7163,2.36499,15.4,2
-9.75914,2.18143,15.5,2
-9.79852,1.99709,15.6,2
-9.83442,1.81205,15.7,2
-9.86683,1.62637,15.8,2
-9.89574,1.4401,15.9,2
-9.92114,1.25333,16,2
-9.94301,1.06611,16.1,2
-9.96134,0.878512,16.2,2
-9.97612,0.690601,16.3,2
-9.98735,0.502444,16.4,2
-9.99504,0.314108,16.5,2
-9.99918,0.12566,16.6,2
-9.99977,-0.0628319,16.7,2
-9.99681,-0.251302,16.8,2
-9.99031,-0.439683,16.9,2
-9.98026,-0.627907,17,2
-9.96666,-0.815907,17.1,2
-9.94951,-1.00362,17.2,2
-9.92882,-1.19097,17.3,2
-9.9046,-1.3779,17.4,2
-9.87686,-1.56434,17.5,2
-9.84561,-1.75022,17.6,2
-9.81087,-1.93549,17.7,2
-9.77265,-2.12007,17.8,2
-9.73096,-2.30389,17.9,2
-9.68582,-2.4869,18,2
-9.63723,-2.66902,18.1,2
-9.58522,-2.85019,18.2,2
-9.52979,-3.03035,18.3,2
-9.47097,-3.20943,18.4,2
-9.40878,-3.38737,18.5,2
-9.34326,-3.56411,18.6,2
-9.27442,-3.73958,18.7,2
-9.20229,-3.91373,18.8,2
-9.12689,-4.08648,18.9,2
-9.04826,-4.25779,19,2
-8.96641,-4.42758,19.1,2
-8.88136,-4.5958,19.2,2
-8.79316,-4.76238,19.3,2
-8.70183,-4.92726,19.4,2
-8.6074,-5.0904,19.5,2
-8.50992,-5.25173,19.6,2
-8.40942,-5.41119,19.7,2
-8.30593,-5.56874,19.8,2
-8.1995,-5.72431,19.9,2
-8.09016,-5.87785,20,2
-7.97794,-6.02929,20.1,2
-7.86288,-6.1786,20.2,2
-7.74503,-6.3257,20.3,2
-7.62442,-6.47055,20.4,2
-7.50109,-6.6131,20.5,2
-7.37511,-6.75331,20.6,2
-7.24651,-6.89111,20.7,2
-7.11533,-7.02648,20.8,2
-6.98164,-7.15935,20.9,2
-6.84546,-7.28968,21,2
-6.70685,-7.41741,21.1,2
-6.56586,-7.54251,21.2,2
-6.42253,-7.66493,21.3,2
-6.27691,-7.78461,21.4,2
-6.12906,-7.90153,21.5,2
-5.97903,-8.01564,21.6,2
-5.82688,-8.12691,21.7,2
-5.67267,-8.2353,21.8,2
-5.51644,-8.34076,21.9,2
-5.35826,-8.44327,22,2
-5.19817,-8.54277,22.1,2
-5.03623,-8.63923,22.2,2
-4.8725,-8.73262,22.3,2
-4.70704,-8.8229,22.4,2
-4.5399,-8.91005,22.5,2
-4.37115,-8.99403,22.6,2
-4.20084,-9.07481,22.7,2
-4.02905,-9.15238,22.8,2
-3.85583,-9.2267,22.9,2
-3.68124,-9.29775,23,2
-3.50534,-9.36549,23.1,2
-3.32819,-9.4299,23.2,2
-3.14987,-9.49096,23.3,2
-2.97041,-9.54863,23.4,2
-2.78991,-9.60292,23.5,2
-2.60841,-9.65379,23.6,2
-2.42598,-9.70123,23.7,2
-2.2427,-9.74524,23.8,2
-2.05862,-9.78578,23.9,2
-1.87381,-9.82285,24,2
-1.68833,-9.85644,24.1,2
-1.50226,-9.88652,24.2,2
-1.31564,-9.91307,24.3,2
-1.12856,-9.9361,24.4,2
-0.941083,-9.9556,24.5,2
-0.753267,-9.97156,24.6,2
-0.565184,-9.98398,24.7,2
-0.3769,-9.99286,24.8,2
-0.188482,-9.99819,24.9,2
2.04E-06,-9.99998,25,2
0.188486,-9.99821,25.1,2
0.376902,-9.99289,25.2,2
0.565185,-9.98401,25.3,2
0.753266,-9.97158,25.4,2
0.941079,-9.9556,25.5,2
1.12856,-9.93609,25.6,2
1.31564,-9.91304,25.7,2
1.50225,-9.88648,25.8,2
1.68833,-9.85642,25.9,2
1.87381,-9.82285,26,2
2.05863,-9.7858,26.1,2
2.24271,-9.74527,26.2,2
2.42599,-9.70127,26.3,2
2.60841,-9.65381,26.4,2
2.7899,-9.60292,26.5,2
2.97041,-9.54862,26.6,2
3.14985,-9.49093,26.7,2
3.32818,-9.42987,26.8,2
3.50533,-9.36547,26.9,2
3.68124,-9.29774,27,2
3.85584,-9.22672,27.1,2
4.02906,-9.15241,27.2,2
4.20086,-9.07484,27.3,2
4.37115,-8.99405,27.4,2
4.5399,-8.91005,27.5,2
4.70703,-8.82289,27.6,2
4.87248,-8.7326,27.7,2
5.03621,-8.6392,27.8,2
5.19816,-8.54275,27.9,2
5.35826,-8.44326,28,2
5.51645,-8.34077,28.1,2
5.67269,-8.23532,28.2,2
5.8269,-8.12694,28.3,2
5.97905,-8.01567,28.4,2
6.12906,-7.90154,28.5,2
6.2769,-7.7846,28.6,2
6.42251,-7.66491,28.7,2
6.56584,-7.54249,28.8,2
6.70684,-7.41739,28.9,2
6.84546,-7.28967,29,2
6.98165,-7.15935,29.1,2
7.11536,-7.0265,29.2,2
7.24653,-6.89114,29.3,2
7.37513,-6.75333,29.4,2
7.5011,-6.61311,29.5,2
7.62441,-6.47054,29.6,2
7.74501,-6.32568,29.7,2
7.86286,-6.17857,29.8,2
7.97792,-6.02928,29.9,2
8.09015,-5.87784,30,2
8.19951,-5.72431,30.1,2
8.30596,-5.56875,30.2,2
8.40945,-5.41121,30.3,2
8.50994,-5.25175,30.4,2
8.60741,-5.09041,30.5,2
8.70182,-4.92726,30.6,2
8.79313,-4.76237,30.7,2
8.88133,-4.59578,30.8,2
8.96638,-4.42757,30.9,2
9.04825,-4.25778,31,2
9.1269,-4.08648,31.1,2
9.20231,-3.91373,31.2,2
9.27445,-3.73959,31.3,2
9.34329,-3.56412,31.4,2
9.4088,-3.38738,31.5,2
9.47096,-3.20943,31.6,2
9.52976,-3.03034,31.7,2
9.58519,-2.85018,31.8,2
9.63721,-2.66901,31.9,2
9.68581,-2.48689,32,2
9.73097,-2.30389,32.1,2
9.77268,-2.12007,32.2,2
9.81091,-1.93549,32.3,2
9.84564,-1.75023,32.4,2
9.87687,-1.56434,32.5,2
9.90459,-1.3779,32.6,2
9.9288,-1.19097,32.7,2
9.94948,-1.00361,32.8,2
9.96663,-0.815902,32.9,2
9.98024,-0.627901,33,2
9.99031,-0.439678,33.1,2
9.99683,-0.251299,33.2,2
9.9998,-0.0628304,33.3,2
9.99921,0.12566,33.4,2
9.99506,0.314106,33.5,2
9.98735,0.502441,33.6,2
9.9761,0.690597,33.7,2
9.9613,0.878509,33.8,2
9.94298,1.06611,33.9,2
9.92112,1.25333,34,2
9.89574,1.44011,34.1,2
9.86685,1.62637,34.2,2
9.83445,1.81206,34.3,2
9.79855,1.9971,34.4,2
9.75916,2.18143,34.5,2
9.7163,2.36498,34.6,2
9.66999,2.5477,34.7,2
9.62024,2.72951,34.8,2
9.56709,2.91035,34.9,2
9.51054,3.09016,35,2
9.45061,3.26888,35.1,2
9.38733,3.44643,35.2,2
9.32071,3.62275,35.3,2
9.25077,3.79779,35.4,2
9.17754,3.97147,35.5,2
9.10104,4.14375,35.6,2
9.02131,4.31455,35.7,2
8.93838,4.48382,35.8,2
8.85228,4.6515,35.9,2
8.76304,4.81752,36,2
8.67069,4.98184,36.1,2
8.57526,5.14439,36.2,2
8.47678,5.30511,36.3,2
8.37528,5.46394,36.4,2
8.2708,5.62083,36.5,2
8.16338,5.77572,36.6,2
8.05306,5.92855,36.7,2
7.93988,6.07928,36.8,2
7.82388,6.22786,36.9,2
7.70511,6.37422,37,2
7.5836,6.51832,37.1,2
7.4594,6.66011,37.2,2
7.33255,6.79953,37.3,2
7.20309,6.93653,37.4,2
7.07106,7.07106,37.5,2
6.93652,7.20308,37.6,2
6.79952,7.33253,37.7,2
6.6601,7.45939,37.8,2
6.51831,7.58359,37.9,2
6.37422,7.70511,38,2
6.22786,7.82389,38.1,2
6.07929,7.9399,38.2,2
5.92857,8.05308,38.3,2
5.77573,8.16339,38.4,2
5.62083,8.2708,38.5,2
5.46394,8.37527,38.6,2
5.3051,8.47676,38.7,2
5.14438,8.57524,38.8,2
4.98183,8.67068,38.9,2
4.81752,8.76304,39,2
4.6515,8.85229,39.1,2
4.48382,8.9384,39.2,2
4.31456,9.02134,39.3,2
4.14376,9.10106,39.4,2
3.97148,9.17754,39.5,2
3.79779,9.25076,39.6,2
3.62275,9.32069,39.7,2
3.44642,9.38731,39.8,2
3.26887,9.4506,39.9,2
3.09016,9.51054,40,2
2.91035,9.5671,40.1,2
2.72951,9.62026,40.2,2
2.54771,9.67001,40.3,2
2.36499,9.71632,40.4,2
2.18143,9.75916,40.5,2
1.9971,9.79854,40.6,2
1.81206,9.83443,40.7,2
1.62637,9.86683,40.8,2
1.4401,9.89573,40.9,2
1.25333,9.92111,41,2
1.06611,9.94298,41.1,2
0.878509,9.96132,41.2,2
0.690599,9.97612,41.3,2
0.502443,9.98737,41.4,2
0.314109,9.99506,41.5,2
0.125663,9.9992,41.6,2
-0.0628288,9.99978,41.7,2
-0.251298,9.99681,41.8,2
-0.439679,9.99029,41.9,2
-0.627904,9.98023,42,2
-0.815905,9.96663,42.1,2
-1.00362,9.94949,42.2,2
-1.19097,9.92882,42.3,2
-1.3779,9.90461,42.4,2
-1.56434,9.87688,42.5,2
-1.75023,9.84563,42.6,2
-1.93549,9.81088,42.7,2
-2.12006,9.77265,42.8,2
-2.30389,9.73095,42.9,2
-2.48689,9.6858,43,2
-2.66901,9.63721,43.1,2
-2.85019,9.5852,43.2,2
-3.03035,9.52979,43.3,2
-3.20944,9.47098,43.4,2
-3.38738,9.40881,43.5,2
-3.56411,9.34328,43.6,2
-3.73958,9.27443,43.7,2
-3.91372,9.20229,43.8,2
-4.08648,9.12689,43.9,2
-4.25778,9.04824,44,2
-4.42757,8.96638,44.1,2
-4.59579,8.88135,44.2,2
-4.76238,8.79315,44.3,2
-4.92727,8.70184,44.4,2
-5.09041,8.60742,44.5,2
-5.25174,8.50994,44.6,2
-5.4112,8.40943,44.7,2
-5.56874,8.30594,44.8,2
-5.7243,8.19949,44.9,2
-5.87783,8.09014,45,2
-6.02928,7.97792,45.1,2
-6.17859,7.86287,45.2,2
-6.3257,7.74502,45.3,2
-6.47056,7.62442,45.4,2
-6.61312,7.50111,45.5,2
-6.75332,7.37513,45.6,2
-6.89112,7.24652,45.7,2
-7.02648,7.11534,45.8,2
-7.15934,6.98163,45.9,2
-7.28966,6.84545,46,2
-7.4174,6.70683,46.1,2
-7.5425,6.56584,46.2,2
-7.66492,6.42252,46.3,2
-7.78462,6.27691,46.4,2
-7.90155,6.12907,46.5,2
-8.01566,5.97905,46.6,2
-8.12693,5.8269,46.7,2
-8.2353,5.67268,46.8,2
-8.34076,5.51644,46.9,2
-8.44325,5.35825,47,2
-8.54275,5.19816,47.1,2
-8.63922,5.03622,47.2,2
-8.73262,4.87249,47.3,2
-8.82291,4.70704,47.4,2
-8.91006,4.53991,47.5,2
-8.99405,4.37116,47.6,2
-9.07483,4.20085,47.7,2
-9.15239,4.02906,47.8,2
-9.2267,3.85583,47.9,2
-9.29773,3.68123,48,2
-9.36547,3.50533,48.1,2
-9.42988,3.32819,48.2,2
-9.49095,3.14986,48.3,2
-9.54864,2.97041,48.4,2
-9.60294,2.78991,48.5,2
-9.65381,2.60841,48.6,2
-9.70125,2.42599,48.7,2
-9.74524,2.2427,48.8,2
-9.78578,2.05862,48.9,2
-9.82284,1.87381,49,2
-9.85642,1.68833,49.1,2
-9.88649,1.50225,49.2,2
-9.91306,1.31564,49.3,2
-9.93611,1.12856,49.4,2
-9.95562,0.941083,49.5,2
-9.97158,0.753269,49.6,2
-9.984,0.565187,49.7,2
-9.99287,0.376903,49.8,2
-9.99819,0.188485,49.9,2
-9.99997,-4.24E-12,50,2
-9.99819,-0.188485,50.1,2
